,Unnamed: 0,Unnamed: 1,z,y,x,z_corr,y_corr,x_corr,r,theta,phi,phi_bin,theta_bin,d_i,d_o
3944,790,120214,19,684,456,-493.4970383407348,96.5651776607435,-39.40129189306159,504.39728606582514,2.9333201025954287,1.9582041392811385,29,29,41.41255848169731,12.328828005937952
3945,790,158279,25,691,435,-487.4970383407348,101.1151776607435,-53.0512918930616,500.6916028014394,2.9115090078478185,2.0539783276257526,29,29,41.27953488110059,13.0
3946,791,102182,16,662,464,-496.4970383407348,82.2651776607435,-34.201291893061594,504.42699858733687,2.964042136962816,1.9648014040433293,29,30,35.958309192730404,16.0
3947,791,113245,18,665,469,-494.4970383407348,84.2151776607435,-30.95129189306159,502.5708900702848,2.9621028207154403,1.9229986593611592,29,30,34.61213659975356,17.832554500127006
3948,791,107794,17,668,450,-495.4970383407348,86.16517766074351,-43.3012918930616,504.7937744518599,2.949375542241216,2.03647242062662,29,30,38.58756276314948,14.071247279470288
3949,791,113406,18,669,451,-494.4970383407348,86.8151776607435,-42.65129189306159,503.8683644566026,2.9484258933079697,2.027450419544712,29,30,37.81534080237808,14.866068747318506
3950,791,89160,14,657,464,-498.4970383407348,79.0151776607435,-34.201291893061594,505.877874493832,2.970561828466717,1.9792926022647044,29,30,36.40054944640259,14.0
3951,792,63703,12,637,466,-500.4970383407348,66.0151776607435,-32.90129189306159,505.9029393842844,2.9952729109443843,2.0331549548119368,29,31,32.526911934581186,12.0
3952,792,78569,13,636,472,-499.4970383407348,65.3651776607435,-29.00129189306159,504.5899054611107,2.9993948625499964,1.9883830178755584,29,31,30.822070014844883,13.0
3953,792,17443,8,658,476,-504.4970383407348,79.66517766074351,-26.401291893061597,511.4301813932311,2.976746526861997,1.890808723558286,29,31,41.41255848169731,8.0
3954,792,17208,8,653,468,-504.4970383407348,76.41517766074351,-31.601291893061592,511.2290902528985,2.9791280779116707,1.9629266007338115,29,31,40.57092555020159,8.0
3955,792,24822,9,652,478,-503.4970383407348,75.7651776607435,-25.101291893061592,509.783978385508,2.984379489376258,1.8907191978673208,29,31,38.535697735995385,9.0
3956,793,15660,8,618,489,-504.4970383407348,53.6651776607435,-17.95129189306159,507.66077440409146,3.0298924106408145,1.8936013729302528,29,32,30.4138126514911,8.0
3957,793,63118,12,629,468,-500.4970383407348,60.8151776607435,-31.601291893061592,505.167707668518,3.005503988949925,2.05002304766684,29,32,30.43024810940588,12.0
3958,793,15760,8,620,489,-504.4970383407348,54.9651776607435,-17.95129189306159,507.7998437676796,3.027476825708722,1.8864691803672209,29,32,30.80584360149873,8.0
3959,793,63269,12,631,473,-500.4970383407348,62.11517766074351,-28.351291893061592,505.1330284545629,3.006006269159431,1.9989853773895236,29,32,30.512292604784715,12.0
3960,793,32956,10,623,471,-502.4970383407348,56.9151776607435,-29.651291893061597,506.5785330038092,3.014566470962368,2.051081505009059,29,32,30.659419433511783,10.0
3961,794,2450,6,610,489,-506.4970383407348,48.4651776607435,-17.95129189306159,509.1270687895636,3.0399047193796718,1.925524225370048,29,33,30.7408522978788,6.0
3962,794,8034,7,611,488,-505.4970383407348,49.11517766074351,-18.601291893061592,508.21802851531305,3.038067136454817,1.9328313482602728,29,33,30.083217912982647,7.0
3963,794,2319,6,602,490,-506.4970383407348,43.265177660743504,-17.30129189306159,508.6358816944793,3.0498538031909623,1.9512074741555008,29,33,29.223278392404914,6.0
3964,794,2392,6,607,490,-506.4970383407348,46.515177660743504,-17.30129189306159,508.92263292362543,3.043920477136216,1.926889809799171,29,33,30.14962686336267,6.0
3965,794,7990,7,610,491,-505.4970383407348,48.4651776607435,-16.651291893061593,508.08797932902297,3.040560636312758,1.901733461309114,29,33,29.631064780058107,7.0
3966,795,1986152,294,934,278,-218.4970383407348,259.0651776607436,-155.1012918930616,372.7091799070178,2.197206171797333,2.1102564697756705,30,6,83.6301381082203,12.0
3967,795,2000623,295,917,257,-217.4970383407348,248.01517766074352,-168.7512918930616,370.531359742544,2.19812834025849,2.1682513215164767,30,6,79.81854421122951,11.0
3968,795,2023128,296,928,251,-216.4970383407348,255.16517766074352,-172.6512918930616,376.5484086983924,2.1833410856792383,2.165661924212575,30,6,92.07062506576132,9.797958971132712
3969,795,1940027,290,948,288,-222.4970383407348,268.1651776607435,-148.6012918930616,378.8137253750231,2.198579559925125,2.0768131687626927,30,6,91.7442096265481,9.433981132056603
3970,795,1906775,287,947,275,-225.4970383407348,267.5151776607435,-157.0512918930616,383.5080088662838,2.1993620449334763,2.1016574356840474,30,6,97.57561170702442,3.3166247903554
3971,796,1939440,290,897,251,-222.4970383407348,235.01517766074352,-172.6512918930616,366.8044906945012,2.2225506980604184,2.204393629815017,30,7,67.65352910233139,16.0
3972,796,1960816,292,888,247,-220.4970383407348,229.1651776607435,-175.2512918930616,363.1096774798252,2.2233865187578843,2.2236631475752757,30,7,62.20128616033595,14.0
3973,796,1927958,289,908,244,-223.4970383407348,242.1651776607435,-177.2012918930616,374.15932070056647,2.210965600078371,2.2025064850093923,30,7,80.58535847162312,17.0
